Binomial (reptile database),name in Tonini et al. 2016,mode of reproduction,brood size (# of hatchling or neonates),log female mass (g),log hatchling mass (g),RI (%),mean annual temperature (ºC),temperature seasonality
Techmarscincus jigurru,Techmarscincus_jigurru,Oviparous,3,0.92,-0.16,25%,22.15,2195.5
Teira dugesii,Teira_dugesii,Oviparous,2.5,0.72,-0.15,33%,16.5,2349.7
Teius oculatus,Teius_oculatus,Oviparous,4.85,1.45,0.14,24%,17.72,4484.6
Teius teyou,Teius_teyou,Oviparous,4.795,1.48,0.20,25%,17.27,4043
Timon lepidus,Timon_lepidus,Oviparous,13.7,1.88,0.17,27%,12.7,5748
Timon princeps,Timon_princeps,Oviparous,7,1.66,-0.02,15%,14.75,9361.1
Trachylepis affinis,Trachylepis_affinis,Oviparous,2.72,0.70,-0.70,11%,25.38,1350.9
Trachylepis buettneri,Trachylepis_buettneri,Oviparous,8.7,0.83,-0.79,21%,25.52,1571.2
Trachylepis maculilabris,Trachylepis_maculilabris,Oviparous,7.035,0.88,-0.67,20%,24.02,1059.8
Trachylepis margaritifera,Trachylepis_margaritifera,Oviparous,6.1,1.28,-0.29,17%,22.09,2504.2
Trachylepis perrotetii,Trachylepis_perrotetii,Oviparous,20.8,1.24,-0.48,40%,23.63,1152.5
Trachylepis quinquetaeniata,Trachylepis_quinquetaeniata,Oviparous,4.8,1.05,-0.27,23%,25.46,2540.2
Trachylepis sechellensis,Trachylepis_sechellensis,Oviparous,4,1.07,-0.16,23%,25.8,683.8
Trapelus agilis,Trapelus_agilis,Oviparous,7,1.23,-0.01,40%,16.36,8660.8
Trapelus agnetae,Trapelus_agnetae,Oviparous,9.7,1.14,-0.17,48%,21.41,8237.3
Trapelus megalonyx,Trapelus_megalonyx,Oviparous,5,1.00,0.15,69%,16.73,8182.8
Trapelus mutabilis,Trapelus_mutabilis,Oviparous,8.5,1.03,-0.10,62%,22.99,6427.7
Trapelus rubrigularis,Trapelus_rubrigularis,Oviparous,5,1.07,0.03,45%,23.34,7354.6
Trapelus ruderatus,Trapelus_ruderatus,Oviparous,8,1.15,-0.17,39%,16.74,8762.5
Trapelus sanguinolentus,Trapelus_sanguinolentus,Oviparous,7.5,1.30,0.09,46%,9.58,11121.5
Trapelus savignii,Trapelus_savignii,Oviparous,5.15,1.21,-0.04,29%,19.9,5319.9
Trimorphodon biscutatus,Trimorphodon_biscutatus,Oviparous,12,2.09,0.44,27%,18.69,635.2383
Trimorphodon vilkinsonii,Trimorphodon_vilkinsonii,Oviparous,13.5,1.76,0.38,56%,18.17014,691.4674
Trioceros deremensis,Trioceros_deremensis,Oviparous,25.5,1.87,0.21,56%,23.07,1484.3
Trioceros melleri,Trioceros_melleri,Oviparous,47,2.38,0.30,39%,24.17,1674.8
Tropidodryas striaticeps,Tropidodryas_striaticeps,Oviparous,8,2.25,0.91,36%,20.86,195.2843
Tropidonophis mairii,Tropidonophis_mairii,Oviparous,9,1.85,0.30,25%,24.37,269.9662
Tropidoscincus variabilis,Tropidoscincus_variabilis,Oviparous,2.8,0.99,-0.22,17%,21.5,2063.6
Tropidurus catalanensis,Tropidurus_catalanensis,Oviparous,6,1.29,0.20,48%,19.68,3661.3
Tropidurus cocorobensis,Tropidurus_cocorobensis,Oviparous,3.0495,1.00,-0.13,23%,23.15,1454.7
Tropidurus etheridgei,Tropidurus_etheridgei,Oviparous,5.29,0.98,-0.01,53%,21.57,2806
Tropidurus hispidus,Tropidurus_hispidus,Oviparous,6.85,1.35,0.06,35%,24.92,935.3
Tropidurus montanus,Tropidurus_montanus,Oviparous,3.49,1.17,0.10,30%,21.52,1596.4
Tropidurus psammonastes,Tropidurus_psammonastes,Oviparous,4,1.17,-0.05,24%,25.38,1032.7
Tropidurus semitaeniatus,Tropidurus_semitaeniatus,Oviparous,2.0125,1.13,-0.41,6%,24.35,1211.7
Tropidurus spinulosus,Tropidurus_spinulosus,Oviparous,4.9,1.43,0.23,31%,22.42,3452.2
Tropidurus torquatus,Tropidurus_torquatus,Oviparous,4.71,1.22,-0.03,26%,22.63,1918.5
Tupinambis teguixin,Tupinambis_teguixin,Oviparous,11.95,3.05,1.33,23%,24.9,751.8
Tympanocryptis centralis,Tympanocryptis_centralis,Oviparous,7,0.65,-0.56,43%,22.94,5783
Tympanocryptis cephalus,Tympanocryptis_cephalus,Oviparous,7.8,0.71,-0.52,46%,26.37,3941.6
Tympanocryptis intima,Tympanocryptis_intima,Oviparous,8.7,0.72,-0.72,32%,22,5982.9
Tympanocryptis lineata,Tympanocryptis_lineata,Oviparous,6.5,0.69,-0.52,41%,19.1,5685.8
Tympanocryptis tetraporophora,Tympanocryptis_tetraporophora,Oviparous,8.1,0.70,-0.68,34%,21.5,5676.8
Uma exsul,Uma_exsul,Oviparous,2.75,1.00,0.23,46%,20.54,4730.7
Uma notata,Uma_notata,Oviparous,2.5,1.23,0.36,33%,20.05,5895.4
Uma scoparia,Uma_scoparia,Oviparous,2.855,1.33,0.40,34%,19.36,7857.2
Uranoscodon superciliosus,Uranoscodon_superciliosus,Oviparous,8.65,1.85,0.36,28%,25.54,576
Uromastyx acanthinura,Uromastyx_acanthinura,Oviparous,13,2.56,0.59,14%,20.55,7433.6
Uromastyx aegyptia,Uromastyx_aegyptia,Oviparous,20.8,3.09,0.81,11%,23.16,7018.8
Uromastyx benti,Uromastyx_benti,Oviparous,8.5,2.23,0.49,15%,22.88,3794
Uromastyx ocellata,Uromastyx_ocellata,Oviparous,12,1.96,0.75,73%,24.71,3402.9
Uromastyx ornata,Uromastyx_ornata,Oviparous,9,2.10,0.58,27%,23.24,5803
Uromastyx thomasi,Uromastyx_thomasi,Oviparous,12.5,2.19,0.54,28%,25.88,3781
Urosaurus graciosus,Urosaurus_graciosus,Oviparous,4.45,0.71,-0.14,63%,19.82,7465.6
Urosaurus nigricaudus,Urosaurus_nigricaudus,Oviparous,4.5,0.56,-0.26,70%,19.55,4764.6
Urosaurus ornatus,Urosaurus_ornatus,Oviparous,7.4,0.60,-0.33,87%,15.66,6898.6
Uta palmeri,Uta_palmeri,Oviparous,2.8,0.97,0.06,34%,23.47225,0
Uta stansburiana,Uta_stansburiana,Oviparous,3.8,0.59,-0.29,50%,14.2,7147.8
Vanzosaura rubricauda,Vanzosaura_rubricauda,Oviparous,1.982,-0.09,-1.19,16%,23.15,1831.3
Varanus acanthurus,Varanus_acanthurus,Oviparous,9.3,1.72,0.52,59%,24.75,4824.7
Varanus albigularis,Varanus_albigularis,Oviparous,32,3.48,1.40,26%,21.24,2682.8
Varanus beccarii,Varanus_beccarii,Oviparous,3.8,2.62,0.85,6%,26.64,695.3
Varanus bengalensis,Varanus_bengalensis,Oviparous,20.2,3.07,0.97,16%,23.48,4578.8
Varanus brevicauda,Varanus_brevicauda,Oviparous,2.915,1.04,-0.02,25%,24.78292,5519.2
Varanus caudolineatus,Varanus_caudolineatus,Oviparous,3.7,1.13,0.14,37%,22.68,5720.5
Varanus cumingi,Varanus_cumingi,Oviparous,7,3.49,1.54,8%,25.2,443.6
Varanus dumerilii,Varanus_dumerilii,Oviparous,20.94,2.34,0.94,83%,25.2,427.9
Varanus eremius,Varanus_eremius,Oviparous,3.85,1.57,0.47,31%,22.46,5806
Varanus exanthematicus,Varanus_exanthematicus,Oviparous,19.05,2.90,0.85,17%,26.35,2320.2
Varanus flavescens,Varanus_flavescens,Oviparous,12.25,2.86,0.68,8%,24.53,5489.2
Varanus giganteus,Varanus_giganteus,Oviparous,9.05,3.61,1.74,12%,22.73,5966.8
Varanus gilleni,Varanus_gilleni,Oviparous,4.275,1.43,0.38,38%,22.58,5859.6
Varanus glauerti,Varanus_glauerti,Oviparous,4.5,1.99,0.55,16%,27.12,2718.7
Varanus glebopalma,Varanus_glebopalma,Oviparous,6.5,2.43,0.96,22%,26.77,2787.1
Varanus gouldii,Varanus_gouldii,Oviparous,7.805,2.71,0.97,14%,21.45,5072.8
Varanus griseus,Varanus_griseus,Oviparous,15.75,2.95,1.19,28%,20.59,7203.8
Varanus indicus,Varanus_indicus,Oviparous,7.85,2.80,1.27,23%,25.78,673.7
Varanus keithhornei,Varanus_keithhornei,Oviparous,3.1,2.31,1.13,21%,25.54,1569.1
Varanus kingorum,Varanus_kingorum,Oviparous,4.5,1.05,0.18,61%,27.64,2981.4
Varanus komodoensis,Varanus_komodoensis,Oviparous,18.4,4.52,1.95,5%,24.71,645.4
Varanus macraei,Varanus_macraei,Oviparous,4.025,2.68,1.01,9%,26.42,316.2
Varanus marmoratus,Varanus_marmoratus,Oviparous,11,3.25,1.50,20%,25.16,1271
Varanus mertensi,Varanus_mertensi,Oviparous,9.7,2.99,1.19,15%,26.07,3029.1
Varanus mitchelli,Varanus_mitchelli,Oviparous,11.85,2.38,0.63,21%,27.09,2366.7
Varanus nebulosus,Varanus_nebulosus,Oviparous,16.5,3.49,1.58,20%,24.24,1704.4
Varanus niloticus,Varanus_niloticus,Oviparous,23.38,3.43,1.51,28%,23.53,1903.4
Varanus olivaceus,Varanus_olivaceus,Oviparous,7.1,3.48,1.53,8%,25.47,1168
Varanus panoptes,Varanus_panoptes,Oviparous,8.8,3.12,1.31,14%,23.99,4267.7
Varanus pilbarensis,Varanus_pilbarensis,Oviparous,3.25,1.48,0.34,24%,26.19,4980.2
Varanus prasinus,Varanus_prasinus,Oviparous,4.35,2.43,0.97,15%,24.9,441.3
Varanus rosenbergi,Varanus_rosenbergi,Oviparous,8.25,2.80,1.32,27%,16.03,3974.6
Varanus rudicollis,Varanus_rudicollis,Oviparous,9.2,2.54,1.21,43%,25.11,379.6
Varanus salvadorii,Varanus_salvadorii,Oviparous,6.795,3.50,1.37,5%,25.19,464.4
Varanus salvator,Varanus_salvator,Oviparous,10.65,3.43,1.48,12%,23.57,2125.8
Varanus scalaris,Varanus_scalaris,Oviparous,5.85,2.18,0.52,13%,25.71,2677.9
Varanus semiremex,Varanus_semiremex,Oviparous,5.6,2.33,0.74,15%,22.94,2629.3
Varanus similis,Varanus_similis,Oviparous,5,2.21,0.38,7%,26.96,2104.6
Varanus spenceri,Varanus_spenceri,Oviparous,19.75,3.17,1.47,40%,24.06,4817.7
Varanus storri,Varanus_storri,Oviparous,4.15,1.31,0.26,37%,25.46,4042.3
Varanus timorensis,Varanus_timorensis,Oviparous,7.95,2.40,0.46,9%,25.16,843.5
Varanus tristis,Varanus_tristis,Oviparous,9.1,2.35,0.66,19%,23.01,5035
Varanus varius,Varanus_varius,Oviparous,7.55,3.35,1.24,6%,17.25,4611.4
Vermicella annulata,Vermicella_annulata,Oviparous,7.7,1.78,0.58,48%,20.73,450.4419
Vhembelacerta rupicola,Vhembelacerta_rupicola,Oviparous,3,0.39,-0.70,25%,20.33,3545.8
Xenagama batillifera,Xenagama_batillifera,Oviparous,8,1.45,-0.32,13%,21.6,1603.9
Xenagama taylori,Xenagama_taylori,Oviparous,5,1.14,-0.30,18%,22.25,1301.6
Xenochrophis flavipunctatus,Xenochrophis_flavipunctatus,Oviparous,30,1.65,-0.42,26%,22.66639,382.3129
Xenochrophis piscator,Xenochrophis_piscator,Oviparous,34.5,1.85,-0.09,40%,24.09,451.4096
Xenochrophis vittatus,Xenochrophis_vittatus,Oviparous,7,1.44,-0.47,8%,24.95286,38.87123
Xenodon dorbignyi,Xenodon_dorbignyi,Oviparous,5.3,1.28,0.14,39%,18.45,440.5633
Xenodon neuwiedii,Xenodon_neuwiedii,Oviparous,8,1.93,0.58,36%,20.91,226.3063
Xenodon rabdocephalus,Xenodon_rabdocephalus,Oviparous,10.5,1.71,0.63,89%,24.38551,70.48335
Xenodon severus,Xenodon_severus,Oviparous,20.5,2.34,0.78,57%,24.48327,73.02095
Zygaspis quadrifrons,Zygaspis_quadrifrons,Oviparous,3.3,0.27,-1.32,9%,20.78,3275.8
Abronia aurita,Abronia_aurita,Viviparous,12,1.35,-0.48,18%,18.08,1026.1
Abronia deppii,Abronia_deppii,Viviparous,6,0.50,-0.43,72%,16.7,1619.4
Abronia fimbriata,Abronia_fimbriata,Viviparous,4,1.22,-0.53,7%,20.12,1343
Abronia graminea,Abronia_graminea,Viviparous,5.031887755,1.27,-0.44,10%,14.94,1901
Abronia meledona,Abronia_meledona,Viviparous,14,1.30,-0.60,17%,16.3,1013
Abronia ochoterenai,Abronia_ochoterenai,Viviparous,13,1.32,-0.62,15%,17.45,1363
Abronia taeniata,Abronia_taeniata,Viviparous,6.5,1.11,-0.58,13%,17.62,2889
Acanthophis antarcticus,Acanthophis_antarcticus,Viviparous,7.9,1.96,0.21,14%,19.01,469.4468
Acanthophis praelongus,Acanthophis_praelongus,Viviparous,23.1,2.02,0.42,57%,25.77,239.4906
Acanthophis pyrrhus,Acanthophis_pyrrhus,viviparous,11,1.68,0.50,73%,23.9132,550.9606
Acanthophis wellsi,Acanthophis_wellsi,viviparous,8.5,1.39,0.43,94%,24.07433,556.0647
Acontias kgalagadi,Acontias_kgalagadi,Viviparous,1.48,0.68,-0.17,21%,20.22,4792.6
Acontias meleagris,Acontias_meleagris,Viviparous,3,0.88,0.16,57%,15.95,3950.5
Acontias plumbeus,Acontias_plumbeus,Viviparous,8,1.64,0.42,48%,20.41,2973
Agkistrodon bilineatus,Agkistrodon_bilineatus,Viviparous,13,2.38,0.92,45%,24.5,135.6419
Agkistrodon contortrix,Agkistrodon_contortrix,Viviparous,7,2.19,0.72,24%,14.58,781.859
Agkistrodon piscivorus,Agkistrodon_piscivorus,Viviparous,7,2.04,1.02,67%,17.27,701.1976
Agkistrodon taylori,Agkistrodon_taylori,Viviparous,5,2.48,0.92,14%,22.77,370.7503
Anguis colchica,Anguis_colchica,Viviparous,10,1.38,-0.47,14%,6.03,9493.4
Anguis fragilis,Anguis_fragilis,Viviparous,9.48,1.27,-0.39,21%,8.49,6158.1
Anniella pulchra,Anniella_pulchra,Viviparous,1.65,0.76,-0.19,19%,15.3,5270.5
Anomalopus swansoni,Anomalopus_swansoni,Viviparous,2.5,0.41,-0.43,37%,16.57,4078.5
Austrelaps labialis,Austrelaps_labialis,Viviparous,7.4,1.60,0.36,42%,15.12,433.6428
Austrelaps ramsayi,Austrelaps_ramsayi,Viviparous,14.6,2.07,0.35,27%,12.61,446.0288
Austrelaps superbus,Austrelaps_superbus,Viviparous,15,2.15,0.57,39%,12.19,322.4381
Barisia ciliaris,Barisia_ciliaris,Viviparous,7.5,1.27,-0.44,15%,16.9,3347.4
Barisia herrerae,Barisia_herrerae,Viviparous,6,1.35,-0.27,15%,16.78,1612.3
Barisia imbricata,Barisia_imbricata,Viviparous,11.45,1.34,-0.52,16%,17.46,2892.9
Barisia rudicollis,Barisia_rudicollis,Viviparous,5,1.31,-0.29,13%,14.1,1672.8
Bellatorias major,Bellatorias_major,Viviparous,5.35,2.77,0.96,8%,17.33,3786.3
Bitia hydroides,Bitia_hydroides,Viviparous,4.2,2.07,0.30,7%,26.64,70.69593
Bitis arietans,Bitis_arietans,Viviparous,35,2.57,0.68,46%,22.85,226.1926
Bitis schneideri,Bitis_schneideri,viviparous,5,1.02,0.04,52%,19.55572,305.3288
Boa constrictor,Boa_constrictor,Viviparous,21.4,3.54,1.75,35%,23.38,122.6354
Bothrocophias hyoprora,Bothrocophias_hyoprora,Viviparous,13,2.29,0.55,24%,25.34,52.18769
Bothrops alternatus,Bothrops_alternatus,Viviparous,34,3.06,1.28,57%,19.7,362.3217
Bothrops asper,Bothrops_asper,viviparous,29.9,3.00,1.27,56%,24.34865,83.84265
Bothrops atrox,Bothrops_atrox,viviparous,31,2.88,1.16,59%,24.2643,64.16775
Bothrops insularis,Bothrops_insularis,Viviparous,6.5,2.44,1.27,44%,22.88782,229.6164
Bothrops jararacussu,Bothrops_jararacussu,viviparous,21,3.16,1.11,19%,22.30286,214.9151
Bothrops moojeni,Bothrops_moojeni,viviparous,15,3.02,1.15,20%,24.56966,139.4712
Brachymeles apus,Brachymeles_apus,Viviparous,4,0.51,-0.46,43%,22.41,448.8
Brachymeles boulengeri,Brachymeles_boulengeri,Viviparous,3.1,1.07,-0.18,17%,25.75,1027.8
Brachymeles talinis,Brachymeles_talinis,Viviparous,4.5,1.53,-0.14,10%,26.12,730.6
Bradypodion melanocephalum,Bradypodion_melanocephalum,Viviparous,14.5,0.68,-0.51,93%,17.45,3083.5
Bradypodion pumilum,Bradypodion_pumilum,Viviparous,12.5,0.97,-0.45,47%,17.09,3175.6
Bradypodion taeniabronchum,Bradypodion_taeniabronchum,Viviparous,12,0.86,-0.51,51%,16.48,3053.6
Bradypodion ventrale,Bradypodion_ventrale,Viviparous,13,1.21,-0.32,38%,15.42,4548.2
Brasiliscincus agilis,Brasiliscincus_agilis,Viviparous,4.5,0.84,-0.20,41%,21.99,1679.7
Brasiliscincus caissara,Brasiliscincus_caissara,Viviparous,4.68,0.80,-0.29,38%,20.17,2060.2
Brasiliscincus heathi,Brasiliscincus_heathi,Viviparous,4,0.77,-0.37,29%,24.23,1220.2
Candoia bibroni,Candoia_bibroni,Viviparous,6,2.64,1.38,33%,25.48,47.1075
Carinascincus coventryi,Niveoscincus_coventryi,Viviparous,2.55,0.15,-1.10,14%,12.64,4582.8
Carinascincus greeni,Niveoscincus_greeni,Viviparous,2.65,0.71,-0.33,24%,8.71,3114.7
Carinascincus metallicus,Niveoscincus_metallicus,Viviparous,3.8,0.43,-0.78,23%,11.08,2934.1
Carinascincus microlepidotus,Niveoscincus_microlepidotus,Viviparous,2.5,0.60,-0.64,14%,8.97,2812.3
Carinascincus ocellatus,Niveoscincus_ocellatus,Viviparous,3.2,0.81,-0.39,21%,10.3,2861.5
Celestus bivittatus,Celestus_bivittatus,Viviparous,10,1.05,-0.72,17%,23.18,88.67952
Celestus crusculus,Celestus_crusculus,Viviparous,3.35,0.56,-0.84,13%,24.39,1010.7
Celestus enneagrammus,Celestus_enneagrammus,Viviparous,6,0.83,-0.60,22%,19.74,2018.7
Celestus stenurus,Celestus_stenurus,Viviparous,5.5,1.61,-0.33,6%,24.03,1292.7
Cerastes vipera,"mean_size_-_TAU,_Dobiey_and_Vogel_2007,_Sivan_et_al_2013_(habitat,_foraging),_Arbel_1984_(clutch_size),_TAU_zoological_garden_(hatchling_size,_female_mass)",viviparous,5,1.43,-0.09,15%,25.05386,643.4294
Cerberus rynchops,Cerberus_rynchops,Viviparous,18,2.26,0.21,16%,26.61,163.2943
Cerrophidion godmani,Cerrophidion_godmani,viviparous,7,1.94,0.32,17%,19.04864,120.7842
Cerrophidion sasai,Cerrophidion_sasai,Viviparous,5.5,1.87,0.74,41%,19.64,46.04524
Chalcides bedriagai,Chalcides_bedriagai,Viviparous,2.435,0.94,-0.30,14%,13.86,5968.2
Chalcides chalcides,Chalcides_chalcides,Viviparous,7.4,1.11,-0.12,43%,14.56,5991.7
Chalcides guentheri,Chalcides_guentheri,Viviparous,4.4,0.66,-0.34,44%,18.66,5573.5
Chalcides lanzai,Chalcides_lanzai,Viviparous,6.33,1.59,0.05,18%,13.71,6143.8
Chalcides ocellatus,Chalcides_ocellatus,Viviparous,6.5,1.46,-0.06,20%,21.32,5979.9
Chalcides sepsoides,Chalcides_sepsoides,Viviparous,4.35,0.72,-0.30,42%,20.43,6186.9
Chalcides sexlineatus,Chalcides_sexlineatus,Viviparous,4.5,0.85,-0.07,55%,18.48,2020.2
Chalcides viridanus,Chalcides_viridanus,Viviparous,4,1.25,-0.11,17%,17.52,2085.9
Charina bottae,Charina_bottae,Viviparous,3.9,1.88,0.73,28%,6.12,765.5093
Chilabothrus inornatus,Chilabothrus_inornatus,Viviparous,14,3.19,1.57,33%,24.63,113.4903
Chilabothrus striatus,Chilabothrus_striatus,viviparous,18,3.43,-1.20,0%,23.79075,133.4465
Clonophis kirtlandii,Clonophis_kirtlandii,Viviparous,9,1.30,-0.34,21%,10.63,919.6014
Concinnia brachyosoma,Concinnia_brachyosoma,Viviparous,3.9,0.84,-0.24,32%,22.04,314.0015
Concinnia martini,Concinnia_martini,Viviparous,3.5,0.67,-0.48,25%,18.79,3840.9
Concinnia queenslandiae,Concinnia_queenslandiae,Viviparous,3.16,0.83,-0.24,26%,22.82,2407.9
Conopsis nasus,Conopsis_nasus,Viviparous,11,0.75,-0.47,67%,17.55,314.4811
Copeoglossum arajara,Copeoglossum_arajara,Viviparous,4.8,1.21,-0.14,22%,25.04,1313.6
Copeoglossum nigropunctatum,Copeoglossum_nigropunctatum,Viviparous,4.83,1.24,-0.11,21%,24.33,890.3
Cophotis ceylanica,Cophotis_ceylanica,Viviparous,5,0.85,-0.83,11%,21.58,701.1
Corallus annulatus,Corallus_annulatus,viviparous,10.5,3.04,1.68,46%,23.74848,45.36991
Corallus caninus,Corallus_caninus,Viviparous,8.3,3.04,1.65,33%,25.16,75.40138
Corallus hortulanus,Corallus_hortulanus,Viviparous,11.1,3.05,1.72,52%,24.04,92.287
Cordylus cordylus,Cordylus_cordylus,Viviparous,2,0.95,-0.21,14%,15.5,3899.6
Cordylus jonesii,Cordylus_jonesii,Viviparous,2.5,0.93,-0.08,24%,20.35,3486.3
Cordylus rhodesianus,Cordylus_rhodesianus,Viviparous,2.5,0.97,-0.08,22%,19.93,2827.8
Cordylus tropidosternum,Cordylus_tropidosternum,Viviparous,2.5,0.90,-0.21,19%,22.52,1817.7
Coronella austriaca,Coronella_austriaca,Viviparous,9,1.68,-0.02,18%,8.48,877.7891
Corytophanes percarinatus,Corytophanes_percarinatus,Viviparous,7.1,1.51,-0.24,13%,20.93,994.6
Crotalus aquilus,Crotalus_aquilus,Viviparous,5,1.89,0.49,20%,18.23,265.8496
Crotalus atrox,Crotalus_atrox,Viviparous,4.72,2.66,1.28,20%,17.89,662.5107
Crotalus cerastes,Crotalus_cerastes,Viviparous,9.2,2.18,0.56,22%,18.39,753.8311
Crotalus durissus,Crotalus_durissus,Viviparous,14.5,2.50,1.02,48%,22.37,157.1829
Crotalus enyo,Crotalus_enyo,Viviparous,5.5,2.51,0.82,11%,20.64,449.5777
Crotalus horridus,Crotalus_horridus,Viviparous,10.4,2.88,1.30,27%,13.57,799.6126
Crotalus lepidus,Crotalus_lepidus,Viviparous,4,1.93,0.64,21%,16.94,545.4879
Crotalus mitchellii,Crotalus_mitchellii,Viviparous,6.4,2.60,1.01,17%,21.49,705.8981
Crotalus molossus,Crotalus_molossus,Viviparous,10,2.72,1.07,22%,16.87,555.1212
Crotalus polystictus,Crotalus_polystictus,Viviparous,7.3,2.16,0.93,44%,17,219.1527
Crotalus pricei,Crotalus_pricei,Viviparous,5.4,1.96,0.42,15%,16.58,461.6016
Crotalus ravus,Crotalus_ravus,Viviparous,6,1.82,0.57,34%,17.53,175.0189
Crotalus ruber,Crotalus_ruber,Viviparous,8,2.90,1.24,17%,19.27,496.7595
Crotalus scutulatus,Crotalus_scutulatus,Viviparous,8.2,2.54,0.97,22%,17.32,596.1414
Crotalus tigris,Crotalus_tigris,Viviparous,4,2.28,0.85,15%,20.87,630.3866
Crotalus triseriatus,Crotalus_triseriatus,Viviparous,12,2.11,0.46,27%,15.54,190.3206
Crotalus viridis,Crotalus_viridis,Viviparous,9.8,2.27,0.99,51%,9.09,883.6309
Crotalus willardi,Crotalus_willardi,Viviparous,5.8,1.93,0.74,37%,15.32,541.6786
Cryptophis nigrescens,Cryptophis_nigrescens,Viviparous,4.2,1.45,0.46,43%,18.09,376.2977
Cryptophis nigrostriatus,Cryptophis_nigrostriatus,Viviparous,5.5,1.41,0.33,46%,22.88,282.2718
Cryptophis pallidiceps,Cryptophis_pallidiceps,viviparous,4,1.60,0.10,13%,26.9449,235.9679
Cyclodomorphus branchialis,Cyclodomorphus_branchialis,Viviparous,3,1.21,0.12,24%,20.04,5262.1
Cyclodomorphus casuarinae,Cyclodomorphus_casuarinae,Viviparous,5.8,1.63,0.16,20%,10.48,2773.3
Cyclodomorphus celatus,Cyclodomorphus_celatus,Viviparous,3.8,1.34,0.05,20%,20.87,4572.3
Cyclodomorphus gerrardii,Hemisphaeriodon_gerrardii,Viviparous,21.65,2.27,0.29,23%,19.21,3867.2
Cyclodomorphus maximus,Cyclodomorphus_maxima,Viviparous,4.5,2.19,0.66,13%,27.11,1860.1
Cyclodomorphus melanops,Cyclodomorphus_melanops,Viviparous,2.7,1.26,0.09,18%,22.29,5388
Cyclodomorphus michaeli,Cyclodomorphus_michaeli,Viviparous,7.65,1.65,0.14,24%,15.51,3940.7
Cyclodomorphus venustus,Cyclodomorphus_venustus,Viviparous,3,1.12,0.05,25%,19.91,6284
Denisonia devisi,Denisonia_devisi,Viviparous,4.9,1.34,0.12,29%,19.89,540.4605
Denisonia maculata,Denisonia_maculata,Viviparous,6.8,1.32,0.21,53%,21.54,383.5555
Drysdalia coronoides,Drysdalia_coronoides,Viviparous,5.1,1.20,-0.01,31%,12.38,385.4769
Drysdalia mastersii,Drysdalia_mastersii,Viviparous,2.8,0.86,-0.22,23%,16.31,386.1647
Drysdalia rhodogaster,Drysdalia_rhodogaster,Viviparous,4.9,1.22,0.05,33%,14.67,413.8953
Echiopsis curta,Echiopsis_curta,Viviparous,7.1,1.32,0.25,61%,17.05,459.8639
Egernia depressa,Egernia_depressa,Viviparous,2,1.40,0.52,27%,23.05,5756.1
Egernia kingii,Egernia_kingii,Viviparous,5,2.37,0.83,15%,17.02,4299
Egernia napoleonis,Egernia_napoleonis,Viviparous,2.5,1.20,0.12,21%,16.35,3505.1
Egernia saxatilis,Egernia_saxatilis,Viviparous,2,1.41,0.60,31%,13.53,4772.6
Egernia stokesii,Egernia_stokesii,Viviparous,4.4,2.17,0.94,26%,20.81,6032.4
Egernia striolata,Egernia_striolata,Viviparous,3.8,1.43,0.37,34%,18.99,5113.5
Elapognathus coronatus,Elapognathus_coronatus,Viviparous,4.3,1.27,0.21,38%,16.82,392.6272
Elapognathus minor,Elapognathus_minor,Viviparous,9.7,1.33,-0.11,35%,15.51,273.4337
Elgaria coerulea,Elgaria_coerulea,Viviparous,5.4,1.07,-0.60,12%,6.97,6345.7
Enhydris enhydris,Enhydris_enhydris,Viviparous,11,1.80,-0.26,10%,25.65,225.6384
Epicrates cenchria,Epicrates_cenchria,Viviparous,13.1,3.14,1.63,40%,24.12,75.16006
Epicrates crassus,Epicrates_crassus,viviparous,12.7,2.77,1.31,44%,24.16631,147.6076
Eremias multiocellata,Eremias_multiocellata,Viviparous,2.85,0.67,-0.36,27%,2.3,11495.9
Eremias przewalskii,Eremias_przewalskii,Viviparous,3.55,1.08,-0.23,18%,3.59,11715.7
Eulamprus heatwolei,Eulamprus_heatwolei,Viviparous,3.55,1.17,-0.01,24%,14.36,4804.8
Eulamprus leuraensis,Eulamprus_leuraensis,Viviparous,2.665,0.89,-0.36,15%,12.61,4416.2
Eulamprus quoyii,Eulamprus_quoyii,Viviparous,5.35,1.37,0.00,23%,18.15,4541.5
Eulamprus tympanum,Eulamprus_tympanum,Viviparous,3.28,1.16,-0.12,17%,12.97,4121.6
Eumecia anchietae,Eumecia_anchietae,Viviparous,6.5,1.35,0.38,70%,21.01,1828.8
Eunectes deschauenseei,Eunectes_deschauenseei,Viviparous,10.6,3.54,1.78,18%,25.93,84.52517
Eunectes murinus,Eunectes_murinus,Viviparous,63.7,4.46,2.25,39%,24.16,95.07142
Eunectes notaeus,Eunectes_notaeus,Viviparous,13,4.11,1.73,5%,22.46,330.756
Eutropis multifasciata,Eutropis_multifasciata,Viviparous,4.9,1.39,-0.02,19%,22.05,2829.6
Fordonia leucobalia,Fordonia_leucobalia,Viviparous,6.1,2.10,0.29,9%,26.05,175.0472
Gloydius shedaoensis,Gloydius_shedaoensis,Viviparous,4.2,2.34,1.05,22%,11.3601,925.8
Haldea striatula,Virginia_striatula,Viviparous,5.25,0.59,-0.94,15%,17.08,719.08
