Binomial (reptile database),name in Tonini et al. 2016,mode of reproduction,brood size (# of hatchling or neonates),log female mass (g),log hatchling mass (g),RI (%),mean annual temperature (ºC),temperature seasonality
Conophis lineatus,Conophis_lineatus,Oviparous,4,1.54,0.02,12%,26.8683,32.8467
Contomastix lacertoides,Contomastix_lacertoides,Oviparous,3.75,0.83,-0.32,26%,18.68,3919.1
Contomastix vacariensis,Contomastix_vacariensis,Oviparous,4.15,0.96,-0.19,29%,17.05,3337.3
Cophosaurus texanus,Cophosaurus_texanus,Oviparous,4.55,0.82,-0.18,45%,17.21,6361
Cophoscincopus durus,Cophoscincopus_durus,Oviparous,2,0.32,-0.82,14%,25.59,923.5
Cophoscincopus greeri,Cophoscincopus_greeri,Oviparous,2.666666667,0.51,-0.50,26%,25.08,1519.2
Cophoscincopus simulans,Cophoscincopus_simulans,Oviparous,2.157894737,0.43,-0.67,17%,25.72,1059.2
Corytophanes cristatus,Corytophanes_cristatus,Oviparous,6,1.58,-0.24,9%,24.47,830.3
Corytophanes hernandesii,Corytophanes_hernandesii,Oviparous,3.5,1.25,0.07,23%,24.37,1722.5
Crocodilurus amazonicus,Crocodilurus_amazonicus,Oviparous,5.585,2.49,1.06,21%,26,521.1
Cryptoblepharus buchananii,Cryptoblepharus_buchananii,Oviparous,2,0.12,-0.79,24%,20.79,5479.2
Ctenophorus adelaidensis,Ctenophorus_adelaidensis,Oviparous,3.5,0.48,-0.58,31%,18.26,4132
Ctenophorus caudicinctus,Ctenophorus_caudicinctus,Oviparous,5.38,0.87,-0.49,24%,23.63,5582.8
Ctenophorus clayi,Ctenophorus_clayi,Oviparous,2.45,0.59,-0.35,28%,22.91,5834.4
Ctenophorus cristatus,Ctenophorus_cristatus,Oviparous,4.55,1.45,0.05,18%,18.27,5011
Ctenophorus decresii,Ctenophorus_decresii,Oviparous,4.75,1.07,-0.08,34%,16.81,5050.4
Ctenophorus fionni,Ctenophorus_fionni,Oviparous,3.575,0.95,-0.04,37%,17.77,4798.6
